dataset,model,horizon,n_obs,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
fi2010,majority,10,139488,0.7068851800871759,0.23562839336239197,0.3333333333333333,0.2760916740168284,0.49968665782687915,0.7068851800871759,0.5854953381238668
fi2010,majority,20,139488,0.6207559073181922,0.20691863577273073,0.3333333333333333,0.25533596371721606,0.38533789647043204,0.6207559073181922,0.4755039234847364
fi2010,majority,50,139488,0.47313030511585225,0.15771010170528407,0.3333333333333333,0.2141156164632445,0.22385228561901946,0.47313030511585225,0.303913760841971
